Job Title,Company Name,Location,Skills/Description,Job Link
Data Analyst manager,Data Analyst manager,"New Cairo,Cairo,Egypt","Data Analysis, ·, Data Analyst, · analytical",https://wuzzuf.net/jobs/p/wm0gnesr8hq3-data-analyst-manager-cairo-egypt
Commercial Specialist-Data Analyst (Chinese Speaker),Commercial SpecialistData Analyst (Chinese Speaker),"Nasr City,Cairo,Egypt","Analyst, · Commerce, · Administration, · Commercial",https://wuzzuf.net/jobs/p/elmap2ottk20-commercial-specialist-data-analyst-chinese-speaker-oppo-egypt-cairo-egypt
Data Analyst,Data Analyst,"Cairo,Egypt","· SQL, · Excel, · Power BI, · Python",https://wuzzuf.net/jobs/p/l2cctgjsulvx-data-analyst-highbase-trading-w-l-l-cairo-egypt
Senior Data Analyst,Senior Data Analyst,"Zamalek,Cairo,Egypt","Engineering - Telecom/Technology, · Microsoft SQL, · SQL, · Power BI",https://wuzzuf.net/jobs/p/pdbhnhmsyty2-senior-data-analyst-al-ahly-capital-holding-al-ahly-tamkeen-cairo-egypt
IE Data Analyst (Industrial Engineering) - Garments or Apparel Manufacturing,IE Data Analyst (Industrial Engineering)  Garments or Apparel Manufacturing,"Obour City,Cairo,Egypt","· Time and Motion Study, · Lean Manufacturing, · Power BI, · Microsoft Excel",https://wuzzuf.net/jobs/p/otijztbj8wil-ie-data-analyst-industrial-engineering-garments-or-apparel-manufacturing-tc-garments-cairo-egypt
Data Analyst,Data Analyst,"Heliopolis,Cairo,Egypt","Data Visualization, · Reporting, · Problem Solving, · Statistical Analysis",https://wuzzuf.net/jobs/p/udg6wsijjfs7-data-analyst-gps-cairo-egypt
Data Analyst And Reporting,Data Analyst And Reporting,"Heliopolis,Cairo,Egypt","·, Data Governance, · Reporting, · Statistical Analysis",https://wuzzuf.net/jobs/p/zezcdnv3p59k-data-analyst-and-reporting-ebny-developments-cairo-egypt
Middle Business Data Analyst - BI Engineer,Middle Business Data Analyst  BI Engineer,"Cairo,Egypt","· SQL, · ETL Processes, ·, Data Mining",https://wuzzuf.net/jobs/p/xqn8he7opiiv-middle-business-data-analyst-bi-engineer-vertex-technologies-cairo-egypt
Data Analyst Specialist,Data Analyst Specialist,"Nasr City,Cairo,Egypt","· Problem Solving, · Communication, · Reporting, · Python",https://wuzzuf.net/jobs/p/yglngxybzz5l-data-analyst-specialist-oppo-egypt-cairo-egypt
Senior (Associate) Financial Analyst,Senior (Associate) Financial Analyst,"New Cairo,Cairo,Egypt","· Asset Management, · Equity Research, · Investment Banking, · Microsoft excel",https://wuzzuf.net/jobs/p/vlfiu6lbftnt-senior-associate-financial-analyst-pre-group-cairo-egypt
Feasibility study Analyst - Real Estate,Feasibility study Analyst  Real Estate,"Heliopolis,Cairo,Egypt","· Project Management, · Report Writing, · Risk Assessment, · Stakeholder Communication",https://wuzzuf.net/jobs/p/tlkwkfxhyjjh-feasibility-study-analyst-real-estate-ebny-developments-cairo-egypt
Financial Analyst,Financial Analyst,"Dokki,Giza,Egypt","· Financial Analysis, · Attention to Detail, · Financial Modeling, · Team Collaboration",https://wuzzuf.net/jobs/p/heshipjjy3ps-financial-analyst-almoss-almsry-lltmoyl-eaf-giza-egypt
